13957,Nokia,6310i,351488202684829,310070659757953,019250798813,ATT,AT&T
27862,Apple,iPhone,012158009912128,310170773497249,017076623366,TMO,T-Mobile
7841,Apple,iPhone,011300004871764,310160375931342,019252818512,TMO,T-Mobile
13394,Apple,iPhone 4,012338005253551,310070015645826,015101073478,ATT,AT&T
27432,Apple,iPhone,012158009161021,310120087041668,019253552411,SPR,Sprint
7665,Apple,iPhone,011612001228643,310120573666377,014156375970,SPR,Sprint
27910,Apple,iPhone 5S,013883001399992,310120912944759,017071937105,SPR,Sprint
447,Apple,iPhone,011245006740154,310170550967774,014158459653,TMO,T-Mobile
19520,Apple,iPhone 4,012336006128974,310070365839082,014086360282,ATT,AT&T
12963,Apple,iPhone 4,012417009656515,310170092821012,016501627820,TMO,T-Mobile
17738,Apple,iPhone 4,012417003751566,310160915430216,014158292243,TMO,T-Mobile
20425,Nokia,6310i,351488208012515,310170620811606,014155402505,TMO,T-Mobile
1624,Apple,iPhone 5S,013883009573987,310170902042406,014158905343,TMO,T-Mobile
30547,Nokia,6310i,351488204119768,310160978710966,015103610083,TMO,T-Mobile
19717,Nokia,3410,351484206529817,310120079257375,014088090811,SPR,Sprint
6844,Nokia,6210 Navigator,352914022361914,310160645972365,014159485487,TMO,T-Mobile
8289,Apple,iPhone 4,012337009755336,310170181130734,015103564925,TMO,T-Mobile
27281,Google  Galaxy,Nexus,351746050655692,310120482370954,014086526653,SPR,Sprint
9003,Apple,iPhone 4,012338008002844,310120451942393,014089491627,SPR,Sprint
14660,Nokia,6233,352749011380429,310170393803067,014157222020,TMO,T-Mobile
19836,Apple,iPhone 4,012338007803313,310070858771843,015105093186,ATT,AT&T
28719,Apple,iPhone 5,013327002301516,310012577149827,014088916901,VZN,Verizon
22725,Nokia,3410,350994800222147,310012057769781,017079967199,VZN,Verizon
10905,Apple,iPhone 4,012542005221838,310170377270275,014088300277,TMO,T-Mobile
25956,Apple,iPhone 4,012417009800793,310120781230953,017078221317,SPR,Sprint
25347,Apple,iPhone 5,013327006554047,310170942428482,014157168839,TMO,T-Mobile
29139,Nokia,3410,351484204936226,310170135687938,017079256776,TMO,T-Mobile
19875,Apple,iPhone,011934005845565,310160517598505,014084012117,TMO,T-Mobile
10398,Apple,iPhone 4,012338003201132,310070292577475,015103464341,ATT,AT&T
14228,Apple,iPhone 4S,013006002531136,310012062460149,014154692734,VZN,Verizon
404,Apple,iPhone,012158004301300,310070152106328,014089160467,ATT,AT&T
22310,Apple,iPhone 4S,013006006792491,310012293114308,015100664586,VZN,Verizon
10107,Apple,iPhone 4,012338007965930,310160692635647,017076670372,TMO,T-Mobile
22118,Nokia,3410,350890803506769,310170149244960,015100220860,TMO,T-Mobile
24507,Apple,iPhone,011245004735853,310170805398277,014159022446,TMO,T-Mobile
27911,Apple,iPhone 5,013327005248591,310120912944759,017071937105,SPR,Sprint
7200,Google  Galaxy,Nexus,351746056321375,310012214403091,016500868743,VZN,Verizon
29436,Apple,iPhone,011808006943890,310160837967167,014083233664,TMO,T-Mobile
19157,Google  Galaxy,Nexus,351746051437931,310012867057151,014156408075,VZN,Verizon
25821,Nokia,3410,351484208929078,310170063686452,014153434115,TMO,T-Mobile
14525,Apple,iPhone,012161000228712,310160460252149,019254670315,TMO,T-Mobile
28446,Apple,iPhone 4,012337001413942,310012269489140,015101050231,VZN,Verizon
14693,Nokia,6310i,351549008690369,310170251457452,014081050044,TMO,T-Mobile
4938,Apple,iPhone,011948001683354,310070913964837,019254481456,ATT,AT&T
16614,Apple,iPhone,012159005474606,310012941207721,014156252873,VZN,Verizon
